Gene	Chromosome	Start	End	Expression_Breadth	Description	GO_Term	GO_Function
ACP2	chr11	47217428	47227033	18	acid phosphatase 2, lysosomal	0005764	lysosome
ACSF2	chr17	45858517	45907199	18	acyl-CoA synthetase family member 2	0006631	fatty acid metabolic process
ACSL1	chr4	185913742	185984209	18	acyl-CoA synthetase long-chain family member 1	0006631	fatty acid metabolic process
ACSL3	chr2	223433975	223516363	18	acyl-CoA synthetase long-chain family member 3	0005741	mitochondrial outer membrane
ACSL4	chrX	108771219	108863277	18	acyl-CoA synthetase long-chain family member 4	0005524	ATP binding
ACSS2	chr20	32926405	32979423	18	acyl-CoA synthetase short-chain family member 2	0008610	lipid biosynthetic process
ACTB	chr7	5533304	5536758	18	actin, beta	0006928	cellular component movement
ACTG1	chr17	77091593	77094422	18	actin, gamma 1	0005829	cytosol
ACTL6A	chr3	180763401	180788887	18	actin-like 6A	0071564	npBAF complex
ACTN1	chr14	68410592	68515836	18	actinin, alpha 1	0030168	platelet activation
ACTR10	chr14	57736585	57772106	18	actin-related protein 10 homolog (S. cerevisiae)	0005856	cytoskeleton
ACTR1A	chr10	104228975	104252502	18	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	0005875	microtubule associated complex
ACTR2	chr2	65308332	65351891	18	ARP2 actin-related protein 2 homolog (yeast)	0005737	cytoplasm
ACTR3	chr2	114364006	114432637	18	ARP3 actin-related protein 3 homolog (yeast)	0006928	cellular component movement
ACTR8	chr3	53876194	53891227	18	ARP8 actin-related protein 8 homolog (yeast)	0005856	cytoskeleton
ADAM10	chr15	56675801	56829469	18	ADAM metallopeptidase domain 10	0007219	Notch signaling pathway
ADAR	chr1	152821157	152867061	18	adenosine deaminase, RNA-specific	0005737	cytoplasm
SCAMP4				18	secretory carrier membrane protein 4
ADD1	chr4	2815381	2901587	18	adducin 1 (alpha)	0005634	nucleus
ADD3	chr10	111755715	111885313	18	adducin 3 (gamma)	0005516	calmodulin binding
ADH5	chr4	100211152	100228954	18	alcohol dehydrogenase 5 (class III), chi polypeptide	0009055	electron carrier activity
ADIPOR1	chr1	201176583	201194323	18	adiponectin receptor 1	0009755	hormone-mediated signaling pathway
ADIPOR2	chr12	1670507	1768106	18	adiponectin receptor 2	0042562	hormone binding
ADNP	chr20	48940289	48980934	18	activity-dependent neuroprotector homeobox	0009743	response to carbohydrate stimulus
ADPRHL2	chr1	36327039	36332120	18	ADP-ribosylhydrolase like 2	0005634	nucleus
ADSL	chr22	39072449	39092521	18	adenylosuccinate lyase	NOT
ADSS	chr1	242638418	242682036	18	adenylosuccinate synthase	0005575	cellular_component
AES	chr19	3003907	3013371	18	amino-terminal enhancer of split	0016055	Wnt receptor signaling pathway
AFF1	chr4	88147176	88281215	18	AF4/FMR2 family, member 1	0003700	transcription factor activity
AFTPH	chr2	64604968	64673642	18	aftiphilin	0043231	intracellular membrane-bounded organelle
AGBL5	chr2	27127994	27135907	18	ATP/GTP binding protein-like 5	0015631	tubulin binding
AGFG1	chr2	228045131	228134182	18	ArfGAP with FG repeats 1	0046872	metal ion binding
AGK	chr7	140897546	141000678	18	acylglycerol kinase	0005739	mitochondrion
AGPAT1	chr6	32243966	32251877	18	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
AGPAT3	chr21	44109543	44231903	18	1-acylglycerol-3-phosphate O-acyltransferase 3	0005783	endoplasmic reticulum
AGPAT4	chr6	161471046	161615097	18	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	0008152	metabolic process
AGPAT6	chr8	41554863	41601677	18	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	0016021	integral to membrane
AHCY	chr20	32331736	32354784	18	S-adenosylhomocysteine hydrolase	0005829	cytosol
AHCYL1	chr1	110328830	110367887	18	S-adenosylhomocysteine hydrolase-like 1	0006730	one-carbon metabolic process
AHNAK	chr11	61957591	62070908	18	AHNAK nucleoprotein	0005634	nucleus
PDCD6				18	programmed cell death 6
AHSA1	chr14	76994125	77005568	18	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	0005737	cytoplasm
AIDA	chr1	220907977	220952487	18	axin interactor, dorsalization associated	0046329	negative regulation of JNK cascade
AIFM1	chrX	129091017	129099696	18	apoptosis-inducing factor, mitochondrion-associated, 1	0006309	DNA fragmentation involved in apoptotic nuclear change
AIP	chr11	67007080	67015155	18	aryl hydrocarbon receptor interacting protein	0008134	transcription factor binding
AK2	chr1	33246172	33275079	18	adenylate kinase 2	0055086	nucleobase, nucleoside and nucleotide metabolic process
AK3	chr9	4701157	4731227	18	adenylate kinase 3	0016740	transferase activity
AKAP1	chr17	52517551	52553709	18	A kinase (PRKA) anchor protein 1	0005515	protein binding
AKAP10	chr17	19749341	19821721	18	A kinase (PRKA) anchor protein 10	0005739	mitochondrion
AKAP13	chr15	83724874	84093590	18	A kinase (PRKA) anchor protein 13	0005622	intracellular
PALM2|PALM2-AKAP2				18	PALM2-AKAP2 readthrough transcript|paralemmin 2
AKAP8L	chr19	15351858	15390833	18	A kinase (PRKA) anchor protein 8-like	0017151	DEAD/H-box RNA helicase binding
AKAP9	chr7	91408124	91577923	18	A kinase (PRKA) anchor protein (yotiao) 9	0005794	Golgi apparatus
AKIRIN1	chr1	39229502	39244324	18	akirin 1	0005634	nucleus
AKR1A1	chr1	45789084	45808308	18	aldo-keto reductase family 1, member A1 (aldehyde reductase)	0009055	electron carrier activity
AKR1B1	chr7	133777646	133794428	18	aldo-keto reductase family 1, member B1 (aldose reductase)	0009055	electron carrier activity
AKR1C3	chr10	5126567	5139878	18	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	0004033	aldo-keto reductase activity
AKT1	chr14	104306730	104333125	18	v-akt murine thymoma viral oncogene homolog 1	0046777	protein amino acid autophosphorylation
AKT2	chr19	45428063	45483105	18	v-akt murine thymoma viral oncogene homolog 2	0005515	protein binding
AKTIP	chr16	52082692	52094671	18	AKT interacting protein	0032092	positive regulation of protein binding
ALAD	chr9	115188412	115203439	18	aminolevulinate, delta-, dehydratase	0016829	lyase activity
ALCAM	chr3	106568402	106778434	18	activated leukocyte cell adhesion molecule	0005102	receptor binding
ALDH18A1	chr10	97355675	97406557	18	aldehyde dehydrogenase 18 family, member A1	0055114	oxidation reduction
ALDH3A2	chr17	19492655	19521500	18	aldehyde dehydrogenase 3 family, member A2	0016020	membrane
ALDH5A1	chr6	24603175	24645414	18	aldehyde dehydrogenase 5 family, member A1	0004777	succinate-semialdehyde dehydrogenase activity
ALDH7A1	chr5	125906816	125958981	18	aldehyde dehydrogenase 7 family, member A1	0007605	sensory perception of sound
ALDH9A1	chr1	163898072	163934524	18	aldehyde dehydrogenase 9 family, member A1	0005737	cytoplasm
ALDOA	chr16	29971991	29989236	18	aldolase A, fructose-bisphosphate	0005975	carbohydrate metabolic process
ALG1	chr16	5061810	5077381	18	asparagine-linked glycosylation 1, beta-1,4-mannosyltransferase homolog (S. cerevisiae)	0016020	membrane
UTP14C				18	asparagine-linked glycosylation 11, alpha-1,2-mannosyltransferase homolog (yeast)
ALG2	chr9	101018527	101024067	18	asparagine-linked glycosylation 2, alpha-1,3-mannosyltransferase homolog (S. cerevisiae)	0047485	protein N-terminus binding
ALG9	chr11	111158128	111247515	18	asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog (S. cerevisiae)	0016020	membrane
AMD1	chr6	111302679	111323606	18	adenosylmethionine decarboxylase 1	0004014	adenosylmethionine decarboxylase activity
ANAPC1	chr2	112243109	112358212	18	anaphase promoting complex subunit 1	0005654	nucleoplasm
ANAPC5	chr12	120230430	120276395	18	anaphase promoting complex subunit 5	0051301	cell division
ANAPC7	chr12	109295087	109325918	18	anaphase promoting complex subunit 7	0070979	protein K11-linked ubiquitination
ANKFY1	chr17	4013413	4114023	18	ankyrin repeat and FYVE domain containing 1	0005515	protein binding
ANKHD1-EIF4EBP3|EIF4EBP3				18	ankyrin repeat and KH domain containing 1|eukaryotic translation initiation factor 4E binding protein 3
ANKLE2	chr12	131812326	131848524	18	ankyrin repeat and LEM domain containing 2	0016021	integral to membrane
ANKRD10	chr13	110328887	110365417	18	ankyrin repeat domain 10
ANKRD12	chr18	9126757	9275206	18	ankyrin repeat domain 12	0005634	nucleus
ANKRD13A	chr12	108921617	108961618	18	ankyrin repeat domain 13A	0005515	protein binding
ANKRD13D	chr11	66813394	66826530	18	ankyrin repeat domain 13 family, member D
ANKRD17	chr4	74159365	74343366	18	ankyrin repeat domain 17	0003723	RNA binding
ANKRD28	chr3	15683747	15876057	18	ankyrin repeat domain 28	0005515	protein binding
ANKZF1	chr2	219802722	219809635	18	ankyrin repeat and zinc finger domain containing 1	0046872	metal ion binding
ANO10	chr3	43382821	43638564	18	anoctamin 10	0006811	ion transport
ANP32A	chr15	66857928	66900315	18	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	0006913	nucleocytoplasmic transport
ANP32B	chr9	99785309	99818045	18	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	0005634	nucleus
ANP32E	chr1	148457340	148475128	18	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	0019212	phosphatase inhibitor activity
ANTXR2	chr4	81041794	81213501	18	anthrax toxin receptor 2	0016021	integral to membrane
ANXA1	chr9	74956600	74975127	18	annexin A1	0006629	lipid metabolic process
ANXA11	chr10	81904859	81955308	18	annexin A11	0005635	nuclear envelope
ANXA2	chr15	58426641	58477477	18	annexin A2	0005886	plasma membrane
ANXA5	chr4	122808601	122837597	18	annexin A5	0005515	protein binding
ANXA6	chr5	150460460	150517560	18	annexin A6	0048471	perinuclear region of cytoplasm
ANXA7	chr10	74805194	74843847	18	annexin A7	0005515	protein binding
AP1G1	chr16	70320404	70400477	18	adaptor-related protein complex 1, gamma 1 subunit	0006886	intracellular protein transport
AP1GBP1	chr17	32952045	33043559	18	AP1 gamma subunit binding protein 1
AP1M1	chr19	16169664	16207156	18	adaptor-related protein complex 1, mu 1 subunit	0016020	membrane
AP2A1	chr19	54961991	55002181	18	adaptor-related protein complex 2, alpha 1 subunit	0030117	membrane coat
AP2A2	chr11	915840	1002240	18	adaptor-related protein complex 2, alpha 2 subunit	0006886	intracellular protein transport
AP2B1	chr17	30938394	31077549	18	adaptor-related protein complex 2, beta 1 subunit	0016192	vesicle-mediated transport
AP2M1	chr3	185375327	185384573	18	adaptor-related protein complex 2, mu 1 subunit	0005215	transporter activity
AP3S1	chr5	115205517	115277677	18	adaptor-related protein complex 3, sigma 1 subunit	0016192	vesicle-mediated transport
AP3S2	chr15	88174834	88238621	18	adaptor-related protein complex 3, sigma 2 subunit	0005515	protein binding
APBB2	chr4	40506800	40911392	18	amyloid beta (A4) precursor protein-binding, family B, member 2	0045449	regulation of transcription
APEH	chr3	49686438	49695938	18	N-acylaminoacyl-peptide hydrolase	0016787	hydrolase activity
APEX1	chr14	19993129	19995766	18	APEX nuclease (multifunctional DNA repair enzyme) 1	0003713	transcription coactivator activity
APH1A	chr1	148504422	148508156	18	anterior pharynx defective 1 homolog A (C. elegans)	0043085	positive regulation of catalytic activity
API5	chr11	43290080	43322656	18	apoptosis inhibitor 5	0005681	spliceosomal complex
APLP2	chr11	129444925	129519916	18	amyloid beta (A4) precursor-like protein 2	0016021	integral to membrane
APOL1	chr22	34979062	34993523	18	apolipoprotein L, 1	0008202	steroid metabolic process
APOL3	chr22	34866322	34886923	18	apolipoprotein L, 3	0005575	cellular_component
APP	chr21	26174731	26465009	18	amyloid beta (A4) precursor protein	0005515	protein binding
APPL1	chr3	57236804	57282538	18	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	0005515	protein binding
APTX	chr9	32962607	32980086	18	aprataxin	0000012	single strand break repair
AQR	chr15	32935843	33049287	18	aquarius homolog (mouse)	0003723	RNA binding
ARAF	chrX	47305521	47316264	18	v-raf murine sarcoma 3611 viral oncogene homolog	0005057	receptor signaling protein activity
ARCN1	chr11	117948311	117978957	18	archain 1	0016192	vesicle-mediated transport
ARD1A	chrX	152848570	152853662	18	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
ARF1	chr1	226336983	226353536	18	ADP-ribosylation factor 1	0005057	receptor signaling protein activity
ARF3	chr12	47616258	47637519	18	ADP-ribosylation factor 3	0005794	Golgi apparatus
ARF4	chr3	57532129	57558255	18	ADP-ribosylation factor 4	0015031	protein transport
ARF6	chr14	49429485	49433522	18	ADP-ribosylation factor 6	0005886	plasma membrane
ARFGAP1	chr20	61374609	61391587	18	ADP-ribosylation factor GTPase activating protein 1	0032312	regulation of ARF GTPase activity
ARFGAP2	chr11	47142427	47154995	18	ADP-ribosylation factor GTPase activating protein 2	0016192	vesicle-mediated transport
ARFGAP3	chr22	41522475	41583352	18	ADP-ribosylation factor GTPase activating protein 3	0046872	metal ion binding
ARFIP2	chr11	6453501	6459171	18	ADP-ribosylation factor interacting protein 2	0031529	ruffle organization
ARGLU1	chr13	105993662	106018515	18	arginine and glutamate rich 1
ARHGAP17	chr16	24838212	24934176	18	Rho GTPase activating protein 17	0005737	cytoplasm
ARHGDIA	chr17	77418885	77422527	18	Rho GDP dissociation inhibitor (GDI) alpha	0006916	anti-apoptosis
ARHGDIB	chr12	14986216	15005829	18	Rho GDP dissociation inhibitor (GDI) beta	0005737	cytoplasm
ARHGEF7	chr13	110565624	110745543	18	Rho guanine nucleotide exchange factor (GEF) 7	0005515	protein binding
ARID1A	chr1	26895108	26981188	18	AT rich interactive domain 1A (SWI-like)	0016563	transcription activator activity
ARID4B	chr1	233396832	233558155	18	AT rich interactive domain 4B (RBP1-like)	0008150	biological_process
ARIH1	chr15	70553720	70665950	18	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	0046872	metal ion binding
ARIH2	chr3	48931284	48997975	18	ariadne homolog 2 (Drosophila)	0007275	multicellular organismal development
ARL1	chr12	100311045	100325703	18	ADP-ribosylation factor-like 1	0007264	small GTPase mediated signal transduction
ARL2BP	chr16	55836538	55845046	18	ADP-ribosylation factor-like 2 binding protein	0005856	cytoskeleton
ARL4C	chr2	235066424	235070432	18	ADP-ribosylation factor-like 4C	0006810	transport
ARL5A	chr2	152365725	152393255	18	ADP-ribosylation factor-like 5A	0000166	nucleotide binding
ARL6IP1	chr16	18710491	18720358	18	ADP-ribosylation factor-like 6 interacting protein 1	0016020	membrane
ARL6IP5	chr3	69216779	69237929	18	ADP-ribosylation-like factor 6 interacting protein 5	0051051	negative regulation of transport
ARL8B	chr3	5138929	5197601	18	ADP-ribosylation factor-like 8B	0007264	small GTPase mediated signal transduction
ARMC1	chr8	66677627	66708986	18	armadillo repeat containing 1	0005739	mitochondrion
ARMCX3	chrX	100764775	100769487	18	armadillo repeat containing, X-linked 3	0016020	membrane
ARMCX6	chrX	100756763	100759647	18	armadillo repeat containing, X-linked 6	0016020	membrane
ARNT	chr1	149048809	149115810	18	aryl hydrocarbon receptor nuclear translocator	0046886	positive regulation of hormone biosynthetic process
ARPC1A	chr7	98761445	98801821	18	actin related protein 2/3 complex, subunit 1A, 41kDa	0005737	cytoplasm
ARPC1B	chr7	98810264	98830340	18	actin related protein 2/3 complex, subunit 1B, 41kDa	0015629	actin cytoskeleton
ARPC2	chr2	218790118	218827316	18	actin related protein 2/3 complex, subunit 2, 34kDa	0015629	actin cytoskeleton
ARPC5	chr1	181861954	181871608	18	actin related protein 2/3 complex, subunit 5, 16kDa	0003779	actin binding
ARPC5L	chr9	126671304	126679517	18	actin related protein 2/3 complex, subunit 5-like	0005737	cytoplasm
ARPP19	chr15	50626723	50648505	18	cAMP-regulated phosphoprotein, 19kDa	0015459	potassium channel regulator activity
ARRDC3	chr5	90700296	90714905	18	arrestin domain containing 3	0007165	signal transduction
ASAH1	chr8	17958204	17986787	18	N-acylsphingosine amidohydrolase (acid ceramidase) 1	0006672	ceramide metabolic process
ASAP1	chr8	131133534	131483399	18	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	0046847	filopodium assembly
ASB1	chr2	239000364	239025630	18	ankyrin repeat and SOCS box-containing 1	0042036	negative regulation of cytokine biosynthetic process
ASB8	chr12	46827838	46837644	18	ankyrin repeat and SOCS box-containing 8	0005737	cytoplasm
ASCC2	chr22	28514600	28564254	18	activating signal cointegrator 1 complex subunit 2	0045449	regulation of transcription
ASH1L	chr1	153571675	153798948	18	ash1 (absent, small, or homeotic)-like (Drosophila)	0005515	protein binding
ASMTL	chrX	1482031	1531844	18	acetylserotonin O-methyltransferase-like	0005575	cellular_component
ASNA1	chr19	12709305	12720137	18	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	0046872	metal ion binding
ASNSD1	chr2	190234369	190243802	18	asparagine synthetase domain containing 1	0006529	asparagine biosynthetic process
ASPH	chr8	62575668	62789753	18	aspartate beta-hydroxylase	0004597	peptide-aspartate beta-dioxygenase activity
ASXL1	chr20	30409813	30490783	18	additional sex combs like 1 (Drosophila)	0005634	nucleus
ASXL2	chr2	25815756	25954816	18	additional sex combs like 2 (Drosophila)	0005634	nucleus
ATE1	chr10	123492614	123677536	18	arginyltransferase 1	0005737	cytoplasm
ATF1	chr12	49444085	49501174	18	activating transcription factor 1	0034138	toll-like receptor 3 signaling pathway
ATF2	chr2	175647251	175741143	18	activating transcription factor 2	0005634	nucleus
ATF3	chr1	210805319	210860739	18	activating transcription factor 3	0042802	identical protein binding
ATF4	chr22	38246514	38248637	18	activating transcription factor 4 (tax-responsive enhancer element B67)	0005515	protein binding
ATF6	chr1	160002707	160195476	18	activating transcription factor 6	0005654	nucleoplasm
ATF7IP	chr12	14409877	14542964	18	activating transcription factor 7 interacting protein	0003714	transcription corepressor activity
ATG16L1	chr2	233824955	233869059	18	ATG16 autophagy related 16-like 1 (S. cerevisiae)	0005776	autophagic vacuole
ATG3	chr3	113734048	113763175	18	ATG3 autophagy related 3 homolog (S. cerevisiae)	0005515	protein binding
ATG4B	chr2	242225699	242261944	18	ATG4 autophagy related 4 homolog B (S. cerevisiae)	0005737	cytoplasm
ATG7	chr3	11289009	11574139	18	ATG7 autophagy related 7 homolog (S. cerevisiae)	0005515	protein binding
ATG9A	chr2	219792345	219802605	18	ATG9 autophagy related 9 homolog A (S. cerevisiae)	0000045	autophagic vacuole assembly
ATHL1	chr11	279137	285688	18	ATH1, acid trehalase-like 1 (yeast)	0005975	carbohydrate metabolic process
ATIC	chr2	215884936	215922724	18	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	0005515	protein binding
ATM	chr11	107598768	107745036	18	ataxia telangiectasia mutated	0043065	positive regulation of apoptosis
ATMIN	chr16	79626958	79638452	18	ATM interactor	0005634	nucleus
ATP11B	chr3	183993984	184122115	18	ATPase, class VI, type 11B	0005637	nuclear inner membrane
ATP13A2	chr1	17185039	17211010	18	ATPase type 13A2	0006754	ATP biosynthetic process
ATP13A3	chr3	195604691	195670257	18	ATPase type 13A3	0015662	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
ATP1A1	chr1	116717358	116748919	18	ATPase, Na+/K+ transporting, alpha 1 polypeptide	0005515	protein binding
ATP1B3	chr3	143078159	143128072	18	ATPase, Na+/K+ transporting, beta 3 polypeptide	0005515	protein binding
ATP2A2	chr12	109203414	109273280	18	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	0008022	protein C-terminus binding
ATP2B1	chr12	88505956	88573975	18	ATPase, Ca++ transporting, plasma membrane 1	0005515	protein binding
ATP2B4	chr1	201862550	201979832	18	ATPase, Ca++ transporting, plasma membrane 4	0005515	protein binding
ATP5A1	chr18	41918107	41938197	18	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	0042776	mitochondrial ATP synthesis coupled proton transport
ATP5B	chr12	55318225	55326119	18	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	0005739	mitochondrion
ATP5C1	chr10	7870098	7889768	18	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	0042776	mitochondrial ATP synthesis coupled proton transport
ATP5E	chr20	57037127	57040817	18	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	0016787	hydrolase activity
ATP5F1	chr1	111793265	111806048	18	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	0005759	mitochondrial matrix
ATP5G2	chr12	52345210	52356779	18	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)	0015078	hydrogen ion transmembrane transporter activity
ATP5H	chr17	70546549	70554669	18	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	0005743	mitochondrial inner membrane
ATP5J	chr21	26018661	26029836	18	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	0042776	mitochondrial ATP synthesis coupled proton transport
ATP5L	chr11	117777313	117785772	18	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
ATP5O	chr21	34197626	34210028	18	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	0005215	transporter activity
ATP5SL	chr19	46629063	46637650	18	ATP5S-like
ATP6AP1	chrX	153310171	153318056	18	ATPase, H+ transporting, lysosomal accessory protein 1	0005524	ATP binding
ATP6AP2	chrX	40325159	40350832	18	ATPase, H+ transporting, lysosomal accessory protein 2	0009897	external side of plasma membrane
ATP6V0D1	chr16	66029417	66072590	18	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	0007420	brain development
ATP6V0E2	chr7	149200989	149208671	18	ATPase, H+ transporting V0 subunit e2	0015991	ATP hydrolysis coupled proton transport
ATP6V1A	chr3	114948597	115013593	18	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	0005886	plasma membrane
ATP6V1B2	chr8	20098983	20123487	18	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	0046034	ATP metabolic process
ATP6V1C1	chr8	104102423	104154461	18	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	0046961	proton-transporting ATPase activity, rotational mechanism
ATP6V1E1	chr22	16454902	16491588	18	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	0015986	ATP synthesis coupled proton transport
ATP6V1G1	chr9	116389814	116400973	18	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	0005886	plasma membrane
ATP6V1H	chr8	54790667	54918403	18	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	0005515	protein binding
ATP9A	chr20	49646720	49818315	18	ATPase, class II, type 9A	0000166	nucleotide binding
ATPAF1	chr1	46870997	46906686	18	ATP synthase mitochondrial F1 complex assembly factor 1	0005515	protein binding
ATPIF1	chr1	28435197	28437198	18	ATPase inhibitory factor 1	0005739	mitochondrion
ATRX	chrX	76647011	76928375	18	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	0008270	zinc ion binding
ATXN10	chr22	44446350	44619493	18	ataxin 10	0005515	protein binding
ATXN2	chr12	110374400	110521863	18	ataxin 2	0005794	Golgi apparatus
ATXN2L	chr16	28741914	28756059	18	ataxin 2-like	0003674	molecular_function
AUP1	chr2	74607282	74610482	18	ancient ubiquitous protein 1	0005515	protein binding
AURKA	chr20	54377851	54400758	18	aurora kinase A	0005515	protein binding
AZI2	chr3	28338848	28365622	18	5-azacytidine induced 2	0007249	I-kappaB kinase/NF-kappaB cascade
AZIN1	chr8	103907711	103945573	18	antizyme inhibitor 1	0006596	polyamine biosynthetic process
B2M	chr15	42790976	42797649	18	beta-2-microglobulin	0005886	plasma membrane
B3GNT1	chr11	65869418	65871737	18	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	0016757	transferase activity, transferring glycosyl groups
B3GNT5	chr3	184453725	184473873	18	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	0008917	lipopolysaccharide N-acetylglucosaminyltransferase activity
B4GALT1	chr9	33100638	33157356	18	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	0043014	alpha-tubulin binding
B4GALT3	chr1	159407724	159413938	18	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	0046872	metal ion binding
B4GALT5	chr20	47682888	47763828	18	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	0005794	Golgi apparatus
BAD	chr11	63793875	63808752	18	BCL2-associated agonist of cell death	0005515	protein binding
BAG1	chr9	33242469	33254761	18	BCL2-associated athanogene	0006915	apoptosis
BANF1	chr11	65526125	65528193	18	barrier to autointegration factor 1	0005829	cytosol
